Date,AXISBANK,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANKBARODA,HDFC,BANDHANBNK,GICRE,HDFCAMC,HDFCLIFE,IBULHSGFIN,ICICIBANK,ICICIGI,ICICIPRULI,INDUSINDBK,KOTAKBANK,L&TFH,NIACL,PEL,PFC,PNB,SBILIFE,SBIIN,SRTRANSFIN
2010-05-03,178.7798462,334.1408081,480.6681824,19.89351273,70.32645416,450.2132874,,,,,,90.8676605,,,177.5265961,181.6761932,,,371.192749,66.3506012,100.1699066,,100.4717484,508.3908691
2010-05-04,177.212616,328.2362366,491.7332764,19.79304504,69.02070618,453.5879517,,,,,,88.7632751,,,178.7438202,180.1392365,,,379.2076416,67.01435852,101.1133881,,99.72601318,524.9846802
2010-05-05,176.0566559,385.3466797,509.9966736,20.66914558,69.83494568,450.1409912,,,,,,87.643074,,,179.3524323,183.6205292,,,380.6123047,67.71499634,101.4149323,,99.55542755,529.6309204
2010-05-06,175.0141907,399.6721497,500.8076172,20.18788147,71.26480103,442.3712463,,,,,,87.5657272,,,175.7007446,184.4687042,,,394.5185852,68.14520264,101.536499,,101.1037598,538.7904053
2010-05-07,168.9437866,385.249176,490.9292603,19.87716293,68.6880722,438.1929626,,,,,,85.0196457,,,168.0697327,175.2312622,,,374.6177368,65.17062378,98.63310242,,97.36638641,515.3379517
2010-05-10,177.212616,424.6943359,507.2400208,20.36544418,69.34342194,448.244812,,,,,,89.4327316,,,170.08284,187.1746368,,,375.8510437,68.57541656,98.83250427,,100.9397202,499.5406799
2010-05-11,178.616745,419.805542,492.4225159,20.057024,69.13489532,445.6656189,,,,,,88.899292,,,168.6783447,183.5949402,,,348.723114,68.23122406,99.0464859,,100.0649796,480.6459961
2010-05-12,182.9497375,453.6840515,500.7693176,20.4588871,69.68103027,446.5895996,,,,,,88.7195282,,,173.2195282,189.0441284,,,335.5362244,69.48499298,99.25559235,,101.6548309,472.1056519
2010-05-13,186.020401,495.4523926,541.2397461,22.22513008,69.32852936,451.3623047,,,,,,89.9074936,,,173.4067688,191.0494232,,,349.4770508,71.3041687,100.0920944,,101.3727264,485.8231201
2010-05-14,183.7794342,519.8451538,526.4606323,22.99610138,68.16676331,446.2280273,,,,,,88.3605423,,,172.8918304,186.4858246,,,344.7157593,70.68958282,98.24402618,,97.28327942,503.9216003
2010-05-17,179.0209656,514.9561768,537.6790771,23.07785988,67.1291275,443.4398804,,,,,,87.3955612,,,168.5847321,192.9799957,,,368.0077209,72.0908432,97.37836456,,98.44230652,489.0090637
2010-05-18,177.9572144,470.7209473,541.0100098,22.56855965,67.64546967,440.314209,,,,,,86.2417374,,,176.2157288,192.7094116,,,370.4734497,70.77561188,100.0094223,,99.72163391,485.5576477
2010-05-19,170.9152527,452.8131714,550.6970215,22.14332962,67.06458282,429.6599731,,,,,,79.9616089,,,169.2869415,182.9681244,,,360.026825,68.69832611,97.98627472,,96.84152222,472.3710938
2010-05-20,180.3039703,437.4709167,543.1541748,22.0639286,68.60863495,435.5737,,,,,,80.6598969,,,183.7062836,184.3820801,,,390.5458374,70.94771576,97.51452637,,99.17491913,474.8933411
2010-05-21,181.4533081,442.6977234,532.6248779,22.18305016,67.73979187,435.5254822,,,,,,80.9655533,,,173.781311,182.0944061,,,344.4072876,70.95999146,96.31329346,,99.33673859,480.2476501
2010-05-24,178.8710327,415.2567444,524.0485229,21.11068153,68.3951416,428.117218,,,,,,80.7036362,,,175.1858063,182.1563721,,,337.3171692,70.62811279,95.58379364,,97.58724976,482.1504211
2010-05-25,173.7288666,411.0940552,505.4021606,20.24626923,66.9801712,419.4394836,,,,,,78.4973602,,,168.0697327,178.441925,,,342.4893494,69.15312195,91.41105652,,94.25881958,472.7693176
2010-05-26,172.6840363,427.0175476,523.397522,21.06629562,67.8688736,433.0908813,,,,,,82.2212601,,,166.9461365,182.8697662,,,366.0891113,70.00124359,92.27674866,,95.06796265,468.3885498
2010-05-27,181.4756927,431.6629333,522.708374,21.55457878,71.28466797,444.138916,,,,,,83.0992889,,,175.4198608,185.8954468,,,350.7441711,69.4604187,96.09932709,,97.0711441,472.0169983
2010-05-28,182.9011841,429.2914429,517.041748,21.6317215,70.18743896,448.3734436,,,,,,83.8700943,,,179.68013,186.8056183,,,345.3666077,71.21813202,96.07012177,,97.94589233,493.4784851
2010-05-31,183.9460144,426.8717346,516.6972046,21.32565689,70.56973267,448.3090515,,,,,,84.2146988,,,183.6126862,186.5960236,,,352.2512512,72.8160553,97.50965881,,99.23179626,506.620636
2010-06-01,176.3857727,441.5370483,503.1048889,21.95643806,70.40093231,434.9790955,,,,,,81.2712021,,,175.0921478,185.8708496,,,347.6269226,70.21021271,96.96984863,,96.6446991,511.5324707
2010-06-02,179.2889862,447.6347351,509.0394897,21.98914146,70.6640625,435.5897217,,,,,,81.6926117,,,173.6876526,185.5628815,,,352.3882141,70.97229004,96.25978851,,98.77035522,516.5770874
2010-06-03,185.4312134,467.9621887,517.3863525,21.80456352,73.32022858,439.5428772,,,,,,82.8373795,,,175.2325897,186.8420258,,,355.0940247,71.62375641,97.73339081,,100.0409164,517.3790283
2010-06-04,185.9013672,454.8457031,510.7242126,22.19007301,73.65782928,441.7445068,,,,,,83.9767761,,,178.2288361,185.0226593,,,351.908905,72.06624603,98.80818176,,102.3786926,521.0327148
2010-06-07,181.3264313,443.9567566,517.8840942,21.51956558,74.06494141,429.2260437,,,,,,81.6590195,,,174.3899231,185.5756378,,,344.6818542,72.91438293,97.55831909,,100.0168762,515.9978027
2010-06-08,183.0280762,433.5506897,531.5911255,21.38173103,72.86346436,434.2398987,,,,,,79.2873764,,,170.4105377,182.0088196,,,339.578125,71.98020935,97.67501068,,99.88784027,520.6317139
2010-06-09,185.0356598,451.9904175,559.7711182,22.18074226,72.49607086,434.7139893,,,,,,79.9712448,,,169.9891968,181.7628021,,,335.0907898,74.41396332,99.21183014,,108.9332504,518.3147583
2010-06-10,186.2820129,451.5549316,545.489624,22.192379,72.75424194,441.9052429,,,,,,87.4037018,,,170.08284,183.0419617,,,339.578125,74.24188232,99.12431335,,111.538559,520.9435425
2010-06-11,185.9536133,449.1834717,539.8997192,21.72280693,72.39181519,451.3864441,,,,,,89.190773,,,178.8842468,186.7928162,,,341.6676636,74.16814423,100.6611023,,112.1641159,525.0870972
2010-06-14,187.550766,446.7637329,546.2172852,21.8723259,72.5556488,455.9662781,,,,,,89.997345,,,181.9273071,189.4131165,,,343.1402283,73.4797821,102.0957718,,112.4085617,518.492981
2010-06-15,185.8715363,439.4069519,546.6766968,22.21108627,72.49607086,459.4455261,,,,,,90.6775208,,,180.0078278,189.5735016,,,341.1191406,72.98812103,102.2270813,,113.3289413,520.1860352
2010-06-16,182.1921692,440.2779236,554.7171631,22.18540764,71.98468781,468.0990601,,,,,,92.4327011,,,177.9947815,188.1221466,,,336.3586121,72.04166412,101.3322525,,113.2090912,524.5525513
2010-06-17,181.3562927,434.3733521,546.9830322,22.192379,70.92224121,471.2889404,,,,,,93.1812973,,,182.1066742,190.1018982,,,334.6799316,71.70980072,100.5589828,,112.6890106,526.1564941
2010-06-18,180.8338623,390.9605713,529.791687,22.19007301,69.94913483,470.9193726,,,,,,91.647583,,,184.5643768,190.1629028,,,334.0290833,71.34104919,100.8361816,,113.7315979,530.0327759
2010-06-21,186.177536,403.8830566,535.1519775,22.192379,71.59744263,479.7578125,,,,,,94.862854,,,189.6688385,195.1693115,,,336.0155029,71.51311493,102.1346893,,114.4601974,532.7506104
2010-06-22,184.4385986,403.8348083,538.5596313,22.19473839,70.91725922,478.761322,,,,,,93.9982834,,,195.1041718,195.1565247,,,336.8378906,71.4025116,101.7504807,,112.8663635,533.1962891
2010-06-23,186.4909668,404.8023376,536.0326538,22.18540764,70.6243515,481.0754395,,,,,,94.9260559,,,190.9922638,192.8815765,,,336.1524353,71.0460434,102.1541519,,112.6266861,532.9733887
2010-06-24,188.550827,405.6732788,536.3006592,22.19473839,76.62949371,485.6795044,,,,,,93.3761139,,,188.8653717,185.9938507,,,344.3734131,70.25938416,103.4623795,,113.0101624,535.2903442
2010-06-25,186.4461975,408.5777588,536.1858521,22.18305016,76.9624939,471.7147217,,,,,,90.3029327,,,185.7459717,184.6654968,,,338.1049194,68.96873474,102.0422974,,110.2898254,516.0424194
2010-06-28,188.3642578,412.1108398,538.7127686,21.99616432,79.22691345,475.4671021,,,,,,91.7369003,,,189.5270691,187.6794128,,,338.8242798,70.97229004,102.1590118,,110.4264526,513.0570679
2010-06-29,185.1848907,425.5170288,542.3501587,21.73449135,78.53870392,496.667572,,,,,,89.4331589,,,194.3479614,183.1521606,,,335.6473083,72.8529129,101.9888,,109.8272552,520.4088745
2010-06-30,185.4461212,423.1455078,537.0280151,22.18540764,77.90599823,503.776947,,,,,,90.8462601,,,194.0171204,190.5173187,,,333.0834961,73.78707886,102.0276871,,110.3473587,513.6363525
2010-07-01,184.1400452,418.8380737,541.7757568,21.6293602,79.87626648,498.8491821,,,,,,88.7112503,,,194.300705,190.3196106,,,334.0537415,73.32000732,99.24588013,,108.441925,528.2953491
2010-07-02,184.6699677,416.9503174,543.0393066,22.12000275,79.42671967,498.9944458,,,,,,88.5634003,,,194.6788025,187.6754456,,,338.7307739,72.31207275,101.7602158,,108.5761414,521.6118774
2010-07-05,184.4833832,414.821228,548.0551147,23.0568428,79.40451813,502.9470215,,,,,,88.6213837,,,196.4275208,188.5769348,,,347.287262,73.03729248,104.5323105,,108.9332504,520.3643799
2010-07-06,187.0731049,411.7236023,569.8409424,23.53810883,79.32679749,503.9139099,,,,,,90.5400848,,,198.648941,189.1818695,,,350.6470642,73.33230591,104.5566406,,110.8650513,520.6761475
2010-07-07,184.6475525,413.4172668,565.6292725,23.59182739,79.65982056,497.0780945,,,,,,89.2122574,,,198.8380127,185.7103577,,,346.7675171,73.52897644,103.2629776,,110.4480286,527.7606201
2010-07-08,185.3192444,411.0085449,559.8424683,26.97270203,79.80966949,503.3492432,,,,,,90.9094315,,,206.8728333,187.8227081,,,346.0400391,74.74584961,109.0825729,,112.974205,532.5725708
2010-07-09,190.0285339,405.6241455,558.6052246,27.15636826,79.52661133,507.5755615,,,,,,92.3434067,,,203.328064,188.70047,,,354.7700195,75.61856842,109.0413513,,113.5542297,527.7606201
2010-07-12,192.2973785,417.4614563,542.2824707,27.34798431,79.37120819,513.8980103,,,,,,94.1931305,,,202.808136,187.7732849,,,351.9635315,74.94252014,108.8506165,,115.0785828,530.8348389
2010-07-13,193.9989777,412.6094055,540.0077515,28.42075729,79.28796387,524.3270874,,,,,,94.8257294,,,199.8305054,188.1320953,,,354.3194885,77.51147461,108.6341324,,116.439949,531.8596191
2010-07-14,196.2006378,408.7774963,542.8013916,28.49790382,79.48222351,526.4744873,,,,,,93.9611816,,,197.4673462,186.5505524,,,349.0885315,78.23668671,108.5361786,,118.1368713,531.5031738
